model,ngày,chi_phí_không_tối_ưu,chi_phí_lý_tưởng,chi_phí_theo_dự_báo,đỉnh_gốc_kWh,đỉnh_sau_tối_ưu_kWh,pk_không_tối_ưu,pk_lý_tưởng,pk_theo_dự_báo
Seasonal naive 7 ngày,2018-12-10,5616064.0,4748212.6,4748212.6,72.9,135.43232697657544,14364064.0,10871812.600000013,10871812.6
Seasonal naive 7 ngày,2018-12-11,7442225.0,6266233.999999999,6266234.0,84.24,149.18,17551025.0,13342393.999999998,14364856.792625941
Seasonal naive 7 ngày,2018-12-12,7595226.0,6397744.799999999,6397744.8,86.51,149.18,17976426.0,13664584.800000023,18498286.163693026
Seasonal naive 7 ngày,2018-12-13,7819182.0,6564885.899999999,6564885.899999999,105.37,149.18,20463582.0,15415965.900000008,15415965.9
Seasonal naive 7 ngày,2018-12-14,9345945.0,7904949.3,7904949.3,134.5,149.18,25485945.0,19202949.300000053,19202949.299999997
Seasonal naive 7 ngày,2018-12-15,697687.0,607550.5,607550.5,5.36,35.905541120699525,1340887.0,1147976.7473684223,2052713.2406174145
Seasonal naive 7 ngày,2018-12-16,3560175.0,3156960.3,3156960.3,72.18,149.18,12221775.0,9220080.3,10405471.684622614
Seasonal naive 7 ngày,2018-12-17,4968232.0,4206772.0,4206772.0,85.86,133.4336773385683,15271432.0,11419012.000000015,11419012.0
Seasonal naive 7 ngày,2018-12-18,6929428.0,5866656.399999999,5866656.4,127.58,143.7051080432848,22239028.0,16583376.400000008,16583376.4
Seasonal naive 7 ngày,2018-12-19,7571476.0,6440826.699999999,6440826.699999999,149.18,149.18,25473076.0,18971946.700000003,18971946.7
Seasonal naive 7 ngày,2018-12-20,5668188.0,4796790.6,4796790.6,83.16,113.99339309740134,15647388.0,11782230.600000009,11782230.6
Seasonal naive 7 ngày,2018-12-21,5133254.0,4351518.8,4351518.800000001,73.12,84.68636750240941,13907654.0,10493598.8,10841337.743351266
Seasonal naive 7 ngày,2018-12-22,712133.0,618656.0,618656.0,5.51,111.55600000000003,1373333.0,1157800.3263157916,1263910.133402369
Seasonal naive 7 ngày,2018-12-23,601077.0,542335.8,542335.8,5.54,29.551251953183176,1265877.0,1063383.6,2006104.3955942942
Seasonal naive 7 ngày,2018-12-24,4321091.0,3665049.5,3665049.5,69.55,131.2168485460274,12667091.0,9507249.500000015,10086854.770152833
Seasonal naive 7 ngày,2018-12-25,683427.0,594063.9,594063.8999999999,5.04,19.37532448619015,1288227.0,1114249.910526317,2101196.649240003
Seasonal naive 7 ngày,2018-12-26,4510920.0,3819901.1999999997,3819901.1999999997,78.23,88.39480873602456,13898520.0,10391221.200000048,11309589.510215655
Seasonal naive 7 ngày,2018-12-27,6145528.0,5164446.699999999,5164446.699999999,76.03,149.18,15269128.0,11550966.700000003,12453377.202089718
Seasonal naive 7 ngày,2018-12-28,4066157.0,3453041.3,3453041.3,66.82,120.53275701788745,12084557.0,9065921.300000004,9065921.299999999
Seasonal naive 7 ngày,2018-12-29,764739.0,659865.9,659865.9,26.17,116.22200000000001,3905139.0,2858145.9000000013,2912208.662247144
Seasonal naive 7 ngày,2018-12-30,554406.0,500020.19999999995,500020.19999999995,4.97,103.93,1150806.0,975200.0000000016,1135815.0759872973
Seasonal naive 7 ngày,2018-12-31,658439.0,572803.7,572803.7,4.21,28.249400822570177,1163639.0,1077851.526315791,1860669.6499242382
